STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,,
KY,Kentucky,S,S4KY00133,,Burrel Charles,Farnsley,"Farnsley, Burrel Charles",,D,"32,310",8.03%,,,,,,,,,,,,
KY,Kentucky,S,S4KY00158,,Tom,Recktenwald,"Recktenwald, Tom",,D,"29,791",7.40%,,,,,,,,,,,,
KY,Kentucky,S,n/a,,,,,Party Votes:,D,"402,524",,,,,,,,,,,,,
KY,Kentucky,S,S4KY00182,,David M.,Patterson,"Patterson, David M.",,LIB,"7,214",100.00%,,,"44,240",3.08%,,,,,,,,
KY,Kentucky,S,n/a,,,,,Party Votes:,LIB,"7,214",,,,,,,,,,,,,
KY,Kentucky,S,S4KY00190,,Mike,Maggard,"Maggard, Mike",,W,,,,,17,0.00%,,,,,,,,
KY,Kentucky,S,S4KY00208,,Robert Edward,Ransdell,"Ransdell, Robert Edward",,W,,,,,53,0.00%,,,,,,,,
KY,Kentucky,S,S4KY00174,,Shawna,Sterling,"Sterling, Shawna",,W,,,,,9,0.00%,,,,,,,,
KY,Kentucky,S,n/a,,Gregory D.,Welch,"Welch, Gregory D.",,W,,,,,64,,,,,,,,,
KY,Kentucky,S,n/a,,,,,Total State Votes:,,"757,640",,,,"1,435,868",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
LA,Louisiana,S,S4LA00107,,"""Bill""",Cassidy,"Cassidy, ""Bill""",,R,n/a,,,,"603,048",40.97%,"712,379",55.93%,,,W (Runoff),"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary.",,
LA,Louisiana,S,S6LA00227,(I),Mary L.,Landrieu,"Landrieu, Mary L.",,D,n/a,,,,"619,402",42.08%,"561,210",44.07%,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary.",,
LA,Louisiana,S,S4LA00115,,"""Rob""",Maness,"Maness, ""Rob""",,R,n/a,,,,"202,556",13.76%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary.",,
